.metric,Random Forest,Logistic Regression
accuracy,0.916058394160584,0.8394160583941606
kap,0.796249595861623,0.5970857562997126
sens,0.9481865284974094,0.917098445595855
spec,0.8395061728395061,0.654320987654321
ppv,0.9336734693877551,0.8634146341463415
npv,0.8717948717948718,0.7681159420289857
mcc,0.7965309369431345,0.6007236002674294
j_index,0.7876927013369155,0.5714194332501759
bal_accuracy,0.8938463506684577,0.7857097166250879
detection_prevalence,0.7153284671532847,0.7481751824817519
precision,0.9336734693877551,0.8634146341463415
recall,0.9481865284974094,0.917098445595855
f_meas,0.9408740359897172,0.8894472361809045
roc_auc,0.9418537708693149,0.8812767862854218
